contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,spotPrice,fetchTime,midPrice,spread,spreadPct,marketPrice,daysToExpiry,timeToExpiry,moneyness,isITM,riskFreeRate
SPY260316C00679000,2026-03-10 20:14:51+00:00,679.0,6.98,6.92,6.98,-0.75999975,-9.8191185,2408.0,820,0.2097246997070312,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,6.95,0.0600000000000005,0.008633093525179927,6.95,5,0.0136986301369863,1.0026876271359217,False,0.05
SPY260316C00680000,2026-03-10 20:14:51+00:00,680.0,6.38,6.32,6.37,-0.5899997,-8.464846,4224.0,2413,0.2053302124023437,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,6.345000000000001,0.04999999999999982,0.007880220646178064,6.345000000000001,5,0.0136986301369863,1.004164339399745,False,0.05
SPY260316C00681000,2026-03-10 20:14:01+00:00,681.0,5.75,5.74,5.79,-0.4499998,-7.258062,2753.0,1125,0.2011188287353515,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,5.765000000000001,0.04999999999999982,0.008673026886383316,5.765000000000001,5,0.0136986301369863,1.005641051663568,False,0.05
SPY260316C00682000,2026-03-10 20:10:29+00:00,682.0,4.98,5.18,5.23,-0.8200002,-14.137933,3125.0,2053,0.1968464105224609,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,5.205,0.05000000000000071,0.00960614793467833,5.205,5,0.0136986301369863,1.0071177639273912,False,0.05
SPY260316C00683000,2026-03-10 20:06:44+00:00,683.0,4.54,4.64,4.69,-0.6300001,-12.185689,1357.0,1668,0.1924519232177734,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,4.665,0.05000000000000071,0.01071811361200444,4.665,5,0.0136986301369863,1.0085944761912145,False,0.05
SPY260316C00684000,2026-03-10 20:13:43+00:00,684.0,4.14,4.13,4.18,-0.77,-15.6822815,2761.0,1859,0.1881184704589843,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,4.154999999999999,0.04999999999999982,0.012033694344163617,4.154999999999999,5,0.0136986301369863,1.0100711884550375,False,0.05
SPY260316C00685000,2026-03-10 20:13:43+00:00,685.0,3.64,3.64,3.69,-0.7099998,-16.321835,2846.0,7577,0.1835408795166015,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,3.665,0.04999999999999982,0.013642564802182762,3.665,5,0.0136986301369863,1.0115479007188608,False,0.05
SPY260316C00686000,2026-03-10 20:13:26+00:00,686.0,3.2,3.18,3.22,-0.51,-13.746631,1200.0,1903,0.178719150390625,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,3.2,0.040000000000000036,0.012500000000000011,3.2,5,0.0136986301369863,1.0130246129826839,False,0.05
SPY260316C00687000,2026-03-10 20:14:55+00:00,687.0,2.78,2.74,2.79,-0.47000003,-14.461539,2021.0,1090,0.1742025939941406,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,2.765,0.04999999999999982,0.0180831826401446,2.765,5,0.0136986301369863,1.014501325246507,False,0.05
SPY260316C00688000,2026-03-10 20:11:17+00:00,688.0,2.26,2.35,2.39,-0.6600001,-22.602741,5581.0,1032,0.1696250030517578,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,2.37,0.040000000000000036,0.016877637130801704,2.37,5,0.0136986301369863,1.0159780375103302,False,0.05
SPY260316C00689000,2026-03-10 20:01:06+00:00,689.0,1.94,1.97,2.01,-0.6799998,-25.954193,2071.0,751,0.1645591357421875,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,1.9899999999999998,0.039999999999999813,0.020100502512562724,1.9899999999999998,5,0.0136986301369863,1.0174547497741533,False,0.05
SPY260316C00690000,2026-03-10 20:14:48+00:00,690.0,1.68,1.63,1.67,-0.5000001,-22.935785,4396.0,2340,0.1597374066162109,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,1.65,0.040000000000000036,0.024242424242424267,1.65,5,0.0136986301369863,1.0189314620379766,False,0.05
SPY260316C00691000,2026-03-10 20:14:30+00:00,691.0,1.37,1.33,1.37,-0.48000002,-25.945946,1283.0,933,0.1551598156738281,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,1.35,0.040000000000000036,0.029629629629629655,1.35,5,0.0136986301369863,1.0204081743017996,False,0.05
SPY260316C00692000,2026-03-10 20:14:40+00:00,692.0,1.08,1.06,1.09,-0.49,-31.21019,2871.0,1185,0.1499108447265625,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,1.0750000000000002,0.030000000000000027,0.027906976744186067,1.0750000000000002,5,0.0136986301369863,1.0218848865656227,False,0.05
SPY260316C00693000,2026-03-10 20:08:52+00:00,693.0,0.81,0.82,0.85,-0.48999995,-37.692307,4369.0,1674,0.1447839428710937,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.835,0.030000000000000027,0.035928143712574884,0.835,5,0.0136986301369863,1.023361598829446,False,0.05
SPY260316C00694000,2026-03-10 20:14:58+00:00,694.0,0.62,0.62,0.65,-0.38,-38.0,523.0,1135,0.1399011791992187,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.635,0.030000000000000027,0.04724409448818902,0.635,5,0.0136986301369863,1.024838311093269,False,0.05
SPY260316C00695000,2026-03-10 20:14:28+00:00,695.0,0.48,0.46,0.48,-0.29999998,-38.461536,1748.0,4872,0.1348963464355469,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.47,0.019999999999999962,0.042553191489361625,0.47,5,0.0136986301369863,1.0263150233570923,False,0.05
SPY260316C00696000,2026-03-10 20:14:03+00:00,696.0,0.34,0.32,0.34,-0.22,-39.285713,878.0,860,0.1296473754882812,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.33,0.020000000000000018,0.060606060606060656,0.33,5,0.0136986301369863,1.0277917356209154,False,0.05
SPY260316C00697000,2026-03-10 20:14:58+00:00,697.0,0.24,0.22,0.24,-0.25,-51.02041,740.0,1245,0.1254970263671875,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.22999999999999998,0.01999999999999999,0.0869565217391304,0.22999999999999998,5,0.0136986301369863,1.0292684478847385,False,0.05
SPY260316C00698000,2026-03-10 20:14:00+00:00,698.0,0.15,0.15,0.17,-0.19,-55.88235,811.0,558,0.122079091796875,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.16,0.020000000000000018,0.1250000000000001,0.16,5,0.0136986301369863,1.0307451601485618,False,0.05
SPY260316C00699000,2026-03-10 20:02:26+00:00,699.0,0.07,0.1,0.11,-0.16,-69.56522,1639.0,5600,0.1176846044921875,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.10500000000000001,0.009999999999999995,0.09523809523809518,0.10500000000000001,5,0.0136986301369863,1.0322218724123848,False,0.05
SPY260316C00700000,2026-03-10 20:14:43+00:00,700.0,0.07,0.06,0.07,-0.089999996,-56.25,2030.0,6456,0.1137783935546875,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.065,0.010000000000000009,0.15384615384615397,0.065,5,0.0136986301369863,1.0336985846762081,False,0.05
SPY260316C00701000,2026-03-10 20:06:14+00:00,701.0,0.03,0.04,0.05,-0.08,-72.72727,320.0,1333,0.1123135644531249,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.045,0.010000000000000002,0.22222222222222227,0.045,5,0.0136986301369863,1.0351752969400312,False,0.05
SPY260316C00702000,2026-03-10 20:14:33+00:00,702.0,0.02,0.03,0.04,-0.07000001,-77.77779,467.0,642,0.1132901171875,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.035,0.010000000000000002,0.28571428571428575,0.035,5,0.0136986301369863,1.0366520092038543,False,0.05
SPY260316C00703000,2026-03-10 20:03:29+00:00,703.0,0.01,0.02,0.03,-0.049999997,-83.333336,242.0,448,0.1132901171875,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.025,0.009999999999999998,0.3999999999999999,0.025,5,0.0136986301369863,1.0381287214676775,False,0.05
SPY260316P00500000,2026-03-10 19:38:16+00:00,500.0,0.04,0.02,0.03,-0.050000004,-55.555557,122.0,687,0.73437765625,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.025,0.009999999999999998,0.3999999999999999,0.025,5,0.0136986301369863,0.7383561319115771,False,0.05
SPY260316P00505000,2026-03-10 18:02:56+00:00,505.0,0.02,0.02,0.03,-0.08,-80.00001,12.0,449,0.7148466015625,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.025,0.009999999999999998,0.3999999999999999,0.025,5,0.0136986301369863,0.7457396932306929,False,0.05
SPY260316P00510000,2026-03-10 16:06:18+00:00,510.0,0.02,0.02,0.03,-0.09,-81.818184,3.0,441,0.6914093359375001,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.025,0.009999999999999998,0.3999999999999999,0.025,5,0.0136986301369863,0.7531232545498087,False,0.05
